Ecosystem,Namespace,Name,Version,Artifact,Published,Detected
npm,@arv-bedrock,logger,1.7.2,,2026-08-04T10:36:22.742Z,2026-08-04T10:38:11.908Z
npm,@hubsync,web-sdk-react,6.3.31,,2026-08-04T10:36:36.538Z,2026-08-04T10:38:28.827Z
npm,@deliveroo,determinator,0.2.1,,2026-08-04T10:33:58.630Z,2026-08-04T10:39:23.631Z
npm,@deliveroo,reevent,1.0.1,,2026-08-04T10:33:58.198Z,2026-08-04T10:39:01.993Z
npm,@hubsync,web-sdk-react,6.3.32,,2026-08-04T10:37:47.871Z,2026-08-04T10:40:11.534Z
npm,@hubsync,web-sdk-react,6.3.33,,2026-08-04T10:39:53.351Z,2026-08-04T10:41:24.712Z
npm,@picsart,gen-ai,2.55.11,,2026-08-04T10:37:46.682Z,2026-08-04T10:43:13.595Z
npm,@picsart,ai-sdk,3.32.2,,2026-08-04T10:37:46.603Z,2026-08-04T10:43:13.789Z
npm,@onereach,si-checkbox,0.6.5,,2026-08-04T10:39:07.922Z,2026-08-04T10:45:13.636Z
npm,@onereach,slack-helpers,1.0.3,,2026-08-04T10:39:07.857Z,2026-08-04T10:44:51.121Z
npm,@onereach,or-file-uploader-next,0.0.8,,2026-08-04T10:39:07.698Z,2026-08-04T10:44:14.801Z
npm,@or-sdk,flow-templates,2.1.5,,2026-08-04T10:39:07.618Z,2026-08-04T10:44:33.160Z
npm,@or-sdk,providers,0.3.6,,2026-08-04T10:39:07.820Z,2026-08-04T10:44:22.422Z
npm,@or-sdk,apps,1.2.6,,2026-08-04T10:39:07.927Z,2026-08-04T10:44:21.809Z
npm,,conv-context-next,1.0.1,,2026-08-04T10:39:07.160Z,2026-08-04T10:44:19.547Z
npm,@or-sdk,card-templates,2.2.5,,2026-08-04T10:39:07.325Z,2026-08-04T10:44:24.180Z
npm,@or-sdk,notifications,1.7.5,,2026-08-04T10:39:08.053Z,2026-08-04T10:44:29.305Z
npm,@or-sdk,qna,3.4.2,,2026-08-04T10:39:07.911Z,2026-08-04T10:44:28.753Z
npm,@onereach,postcss-scoped-selector,1.2.1,,2026-08-04T10:39:07.674Z,2026-08-04T10:44:23.126Z
npm,@or-sdk,markdowner,0.5.1,,2026-08-04T10:39:07.326Z,2026-08-04T10:44:31.595Z
npm,@onereach,pnpm-audit-junit,1.0.3,,2026-08-04T10:39:07.504Z,2026-08-04T10:44:16.730Z
npm,@onereach,orest-vue3,0.0.4,,2026-08-04T10:39:07.266Z,2026-08-04T10:44:23.231Z
npm,@or-sdk,library-types-v2,9.0.1,,2026-08-04T10:39:07.579Z,2026-08-04T10:44:37.004Z
npm,@or-sdk,library-source,0.4.5,,2026-08-04T10:39:07.986Z,2026-08-04T10:44:35.967Z
npm,@onereach,orest-input-cli,1.18.1,,2026-08-04T10:39:07.461Z,2026-08-04T10:45:15.801Z
npm,@onereach,si-datepicker,0.4.5,,2026-08-04T10:39:07.576Z,2026-08-04T10:45:30.406Z
npm,@or-sdk,mcp-tools,0.5.2,,2026-08-04T10:39:07.100Z,2026-08-04T10:44:45.331Z
npm,@onereach,time-interpreter,1.0.30,,2026-08-04T10:39:07.971Z,2026-08-04T10:44:25.804Z
npm,@onereach,step-run-snowflake-query,0.1.1,,2026-08-04T10:39:07.102Z,2026-08-04T10:44:17.289Z
npm,@onereach,get-version-data,3.1.2,,2026-08-04T10:39:07.264Z,2026-08-04T10:44:43.179Z
