item_type,category,identifier,detail,href
"package","npm","@uipath/platform-tool","other | versions: 1.0.1","/ti/packages/npm/@uipath/platform-tool"
"package","npm","@uipath/project-packager","other | versions: 1.1.16","/ti/packages/npm/@uipath/project-packager"
"package","npm","@uipath/resource-tool","other | versions: 1.0.1","/ti/packages/npm/@uipath/resource-tool"
"package","npm","@uipath/resourcecatalog-tool","other | versions: 0.1.1","/ti/packages/npm/@uipath/resourcecatalog-tool"
"package","npm","@uipath/resources-tool","other | versions: 0.1.11","/ti/packages/npm/@uipath/resources-tool"
"package","npm","@uipath/robot","other | versions: 1.3.4","/ti/packages/npm/@uipath/robot"
"package","npm","@uipath/rpa-legacy-tool","other | versions: 1.0.1","/ti/packages/npm/@uipath/rpa-legacy-tool"
"package","npm","@uipath/rpa-tool","other | versions: 0.9.5","/ti/packages/npm/@uipath/rpa-tool"
"package","npm","@uipath/solution-packager","other | versions: 0.0.35","/ti/packages/npm/@uipath/solution-packager"
"package","npm","@uipath/solution-tool","other | versions: 1.0.1","/ti/packages/npm/@uipath/solution-tool"
"package","npm","@uipath/solutionpackager-sdk","other | versions: 1.0.11","/ti/packages/npm/@uipath/solutionpackager-sdk"
"package","npm","@uipath/solutionpackager-tool-core","other | versions: 0.0.34","/ti/packages/npm/@uipath/solutionpackager-tool-core"
"package","npm","@uipath/tasks-tool","other | versions: 1.0.1","/ti/packages/npm/@uipath/tasks-tool"
"package","npm","@uipath/telemetry","other | versions: 0.0.7","/ti/packages/npm/@uipath/telemetry"
"package","npm","@uipath/test-manager-tool","other | versions: 1.0.2","/ti/packages/npm/@uipath/test-manager-tool"
"package","npm","@uipath/tool-workflowcompiler","other | versions: 0.0.12","/ti/packages/npm/@uipath/tool-workflowcompiler"
"package","npm","@uipath/traces-tool","other | versions: 1.0.1","/ti/packages/npm/@uipath/traces-tool"
"package","npm","@uipath/ui-widgets-multi-file-upload","other | versions: 1.0.1","/ti/packages/npm/@uipath/ui-widgets-multi-file-upload"
"package","npm","@uipath/uipath-python-bridge","other | versions: 1.0.1","/ti/packages/npm/@uipath/uipath-python-bridge"
"package","npm","@uipath/vertical-solutions-tool","other | versions: 1.0.1","/ti/packages/npm/@uipath/vertical-solutions-tool"
"package","npm","@uipath/vss","other | versions: 0.1.6","/ti/packages/npm/@uipath/vss"
"package","npm","@uipath/widget.sdk","other | versions: 1.2.3","/ti/packages/npm/@uipath/widget.sdk"
"package","npm","agentwork-cli","other | versions: 0.1.4, 0.1.5","/ti/packages/npm/agentwork-cli"
"package","npm","cmux-agent-mcp","other | versions: 0.1.3, 0.1.4, 0.1.5, 0.1.6, 0.1.7, 0.1.8","/ti/packages/npm/cmux-agent-mcp"
"package","npm","cross-stitch","other | versions: 1.1.3, 1.1.4, 1.1.5, 1.1.6, 1.1.7","/ti/packages/npm/cross-stitch"
"package","npm","git-branch-selector","other | versions: 1.3.3, 1.3.4, 1.3.5, 1.3.6, 1.3.7","/ti/packages/npm/git-branch-selector"
"package","npm","git-git-git","other | versions: 1.0.8, 1.0.9, 1.0.10, 1.0.11, 1.0.12","/ti/packages/npm/git-git-git"
"package","npm","ml-toolkit-ts","other | versions: 1.0.4, 1.0.5","/ti/packages/npm/ml-toolkit-ts"
